                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.79356,                0.88267,                 1.0131,                0.82899,                0.92857,                0.95069,                0.69659,                 1.1034,                 1.0367,                 1.1682,               0.005149,               0.005149,               0.005149
                     51,                0.84148,                0.92214,                 1.0348,                0.89909,                0.92579,                0.95758,                0.69068,                 1.1365,                 1.0838,                 1.1812,                0.00505,                0.00505,                0.00505
                     52,                0.82228,                 0.9128,                 1.0604,                0.94897,                0.92308,                0.98964,                0.75401,                 1.0529,                0.93317,                 1.1497,               0.004951,               0.004951,               0.004951
                     53,                0.80808,                0.87617,                 1.0563,                0.98484,                0.99547,                  0.995,                0.72874,                 1.0775,                 0.9085,                  1.148,               0.004852,               0.004852,               0.004852
                     54,                0.77815,                0.88091,                 1.0491,                      1,                0.95016,                  0.995,                0.71289,                 1.0977,                0.93589,                 1.1588,               0.004753,               0.004753,               0.004753
                     55,                0.81128,                0.86797,                 1.0266,                0.95043,                0.83184,                0.96026,                 0.7466,                0.99683,                 1.0384,                 1.1169,               0.004654,               0.004654,               0.004654
                     56,                0.81593,                0.90534,                 1.0599,                0.98374,                0.89303,                0.98275,                0.73222,                 1.0987,                0.88267,                 1.1876,               0.004555,               0.004555,               0.004555
                     57,                0.72993,                0.77671,                0.99319,                0.93121,                0.95386,                 0.9646,                0.74979,                 1.0244,                0.84264,                  1.148,               0.004456,               0.004456,               0.004456
                     58,                0.72544,                0.76507,                0.98985,                0.96925,                0.98656,                  0.995,                0.73907,                  1.059,                0.83479,                 1.1272,               0.004357,               0.004357,               0.004357
                     59,                0.73867,                0.78924,                 1.0027,                0.94385,                0.95309,                0.95498,                0.74542,                0.98099,                0.80851,                 1.1426,               0.004258,               0.004258,               0.004258
                     60,                0.85849,                0.86461,                 1.0642,                0.98954,                0.96023,                0.96032,                0.75833,                 1.0287,                0.80996,                 1.1727,               0.004159,               0.004159,               0.004159
                     61,                0.78823,                0.84244,                 1.0556,                0.99001,                0.96154,                0.96026,                0.73854,                 1.0164,                0.80293,                 1.1669,                0.00406,                0.00406,                0.00406
                     62,                0.76556,                0.84149,                 1.0177,                 0.9631,                0.95261,                0.96025,                 0.7155,                 1.0413,                0.85363,                 1.1808,               0.003961,               0.003961,               0.003961
                     63,                0.76085,                0.78924,                0.99101,                0.96613,                 0.9279,                0.97011,                0.74082,                 1.0079,                0.83892,                 1.1035,               0.003862,               0.003862,               0.003862
                     64,                0.69555,                0.72858,                 0.9615,                 0.8716,                0.86867,                0.92709,                0.71003,                 1.1215,                 1.0934,                 1.2149,               0.003763,               0.003763,               0.003763
                     65,                0.77535,                 0.8872,                 1.0368,                0.96027,                0.95186,                0.99033,                0.71672,                 1.0996,                0.81504,                 1.1759,               0.003664,               0.003664,               0.003664
                     66,                0.69398,                0.73599,                0.99112,                0.94469,                0.96013,                0.96134,                0.73714,                 1.0354,                0.74513,                 1.1941,               0.003565,               0.003565,               0.003565
                     67,                0.74114,                0.79363,                0.99847,                      1,                0.92998,                  0.995,                0.77344,                0.99311,                0.76697,                 1.1184,               0.003466,               0.003466,               0.003466
                     68,                0.73822,                0.75146,                 0.9871,                 0.8851,                 0.9947,                0.98149,                0.76352,                0.96094,                0.84555,                 1.0848,               0.003367,               0.003367,               0.003367
                     69,                0.75769,                0.87299,                 1.0059,                0.98646,                0.99565,                  0.995,                0.79089,                0.96448,                0.68198,                  1.116,               0.003268,               0.003268,               0.003268
                     70,                0.74854,                0.76159,                0.99105,                0.98943,                0.96154,                 0.9925,                0.78009,                0.97323,                0.71452,                 1.0944,               0.003169,               0.003169,               0.003169
                     71,                0.70241,                 0.7301,                0.97255,                0.98807,                0.96154,                0.96389,                0.77363,                0.95631,                0.69941,                  1.116,                0.00307,                0.00307,                0.00307
                     72,                0.67724,                0.78599,                0.96174,                0.94842,                      1,                 0.9925,                0.77214,                0.98702,                0.69165,                 1.1221,               0.002971,               0.002971,               0.002971
                     73,                0.68035,                0.73037,                0.96057,                 0.9464,                0.99696,                 0.9925,                0.76597,                0.98339,                0.67298,                 1.1249,               0.002872,               0.002872,               0.002872
                     74,                0.73635,                0.78366,                 1.0233,                0.99641,                0.99242,                  0.995,                0.75142,                0.99866,                  0.682,                 1.1365,               0.002773,               0.002773,               0.002773
                     75,                0.66943,                0.74535,                0.97874,                0.98314,                0.99427,                  0.995,                0.75588,                 1.0053,                0.64944,                 1.1392,               0.002674,               0.002674,               0.002674
                     76,                0.67536,                0.71665,                0.99099,                0.97154,                 0.9974,                  0.995,                0.75437,                 1.0127,                0.66525,                 1.1512,               0.002575,               0.002575,               0.002575
                     77,                0.66773,                0.70766,                0.96096,                0.97793,                      1,                  0.995,                  0.744,                  1.001,                0.61913,                 1.1461,               0.002476,               0.002476,               0.002476
                     78,                0.67747,                0.70202,                0.99168,                0.96185,                0.99596,                  0.995,                0.76612,                 1.0008,                0.62188,                 1.1395,               0.002377,               0.002377,               0.002377
                     79,                0.66823,                0.69113,                0.97651,                 0.9839,                0.96482,                  0.995,                0.76892,                0.99999,                0.63984,                 1.1353,               0.002278,               0.002278,               0.002278
                     80,                 0.6785,                0.68426,                0.97814,                 0.9837,                0.96154,                 0.9605,                0.77144,                 0.9446,                0.64217,                 1.1133,               0.002179,               0.002179,               0.002179
                     81,                0.65926,                0.66756,                0.97212,                0.98512,                0.96154,                0.96038,                 0.7781,                0.93609,                 0.6498,                 1.0933,                0.00208,                0.00208,                0.00208
                     82,                0.63883,                0.68758,                0.97866,                0.98568,                0.96154,                0.96165,                0.77735,                0.92878,                0.64253,                 1.0891,               0.001981,               0.001981,               0.001981
                     83,                0.62309,                0.66205,                0.96448,                0.98733,                0.96491,                  0.995,                0.77864,                0.93124,                0.62953,                 1.0849,               0.001882,               0.001882,               0.001882
                     84,                 0.6636,                 0.6424,                0.97237,                0.95933,                0.98952,                  0.995,                0.77714,                0.93861,                0.61569,                 1.0802,               0.001783,               0.001783,               0.001783
                     85,                0.64099,                0.66335,                0.96151,                0.94463,                0.99434,                  0.995,                0.76876,                0.95159,                 0.6159,                 1.0879,               0.001684,               0.001684,               0.001684
                     86,                0.64777,                0.65099,                0.94336,                0.95326,                0.99539,                  0.995,                0.78771,                0.92907,                0.59525,                 1.0697,               0.001585,               0.001585,               0.001585
                     87,                0.61253,                0.65693,                0.93637,                0.95511,                0.99634,                  0.995,                0.79267,                0.92145,                0.58583,                 1.0733,               0.001486,               0.001486,               0.001486
                     88,                 0.5831,                0.63606,                0.95724,                 0.9724,                      1,                  0.995,                0.78367,                0.91904,                0.57242,                 1.0703,               0.001387,               0.001387,               0.001387
                     89,                0.64655,                0.65422,                0.95219,                0.97673,                0.99717,                  0.995,                0.76652,                 0.9231,                0.57073,                 1.0669,               0.001288,               0.001288,               0.001288
                     90,                 0.6319,                0.64502,                0.96289,                0.98022,                0.99678,                  0.995,                0.78529,                0.93543,                0.57656,                 1.0616,               0.001189,               0.001189,               0.001189
                     91,                0.59428,                0.65164,                0.94573,                0.98576,                0.99756,                  0.995,                0.78684,                0.95222,                0.57454,                 1.0599,                0.00109,                0.00109,                0.00109
                     92,                0.58258,                 0.6191,                 0.9457,                0.98716,                0.99746,                  0.995,                0.79932,                0.93344,                0.56578,                 1.0533,               0.000991,               0.000991,               0.000991
                     93,                0.58555,                0.58972,                0.93986,                0.99282,                0.99975,                  0.995,                0.79962,                0.93744,                0.57478,                 1.0474,               0.000892,               0.000892,               0.000892
                     94,                0.63396,                0.63535,                0.94616,                0.99279,                      1,                  0.995,                0.79545,                0.93462,                0.56948,                 1.0496,               0.000793,               0.000793,               0.000793
                     95,                0.58523,                0.64051,                0.94659,                0.99438,                      1,                  0.995,                0.78284,                0.93191,                0.57158,                   1.05,               0.000694,               0.000694,               0.000694
                     96,                0.61724,                0.65674,                0.96087,                0.99195,                0.99776,                  0.995,                0.79756,                 0.9279,                0.56791,                 1.0468,               0.000595,               0.000595,               0.000595
                     97,                0.59076,                0.61616,                0.94128,                0.98628,                 0.9962,                  0.995,                0.79746,                 0.9227,                0.56028,                 1.0469,               0.000496,               0.000496,               0.000496
                     98,                0.51789,                0.57626,                0.91762,                0.98384,                0.99574,                  0.995,                0.78907,                0.92172,                0.56224,                  1.048,               0.000397,               0.000397,               0.000397
                     99,                0.57202,                0.62819,                0.94347,                0.98318,                0.99519,                  0.995,                0.78885,                0.92569,                0.56995,                 1.0507,               0.000298,               0.000298,               0.000298
